Nation,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019
Nation,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
USA,12.8,21.1,5.2,13,21.3,5.4,13.2,21.6,5.6,13.3,21.7,5.7,13.7,22.1,6,14.1,22.5,6.3,14.2,22.7,6.3,14.7,23.8,6.4,15,24.2,6.5,14.7,23.7,6.2
